# Time-averaged data for fix myat1
# TimeStep c_Tmobile
67500 343.738
67600 263.034
67700 267.44
67800 296.262
67900 316.401
68000 249.466
68100 327.274
68200 326.358
68300 305.367
68400 351.461
68500 318.471
68600 316.878
68700 322.903
68800 262.578
68900 295.313
69000 277.124
69100 322.48
69200 245.72
69300 318.777
69400 339.651
69500 288.09
69600 318.051
69700 333.473
69800 304.306
69900 309.791
70000 283.722
70100 271.644
70200 323.134
70300 281.198
70400 289.382
70500 356.427
70600 351.984
70700 284.968
70800 326.299
70900 389.95
71000 307.156
71100 334.938
71200 294.809
71300 307.637
71400 301.271
71500 282.204
71600 292.52
71700 307.549
71800 293.779
71900 349.183
72000 333.002
72100 305.265
72200 369.596
72300 308.249
72400 342.35
72500 328.871
72600 288.231
72700 342.441
72800 268.131
72900 311.6
73000 327.823
73100 326.699
73200 304.596
73300 335.305
73400 361.301
73500 332.457
73600 334.396
73700 296.03
73800 323.389
73900 278.48
74000 308.833
74100 323.722
74200 287.632
74300 278.385
74400 333.672
74500 304.336
74600 384.14
74700 316.773
74800 337.006
74900 368.429
75000 286.749
75100 328.325
75200 351.402
75300 256.435
75400 308.817
75500 275.827
75600 297.135
75700 335.053
75800 334.277
75900 346.794
76000 397.09
76100 275.627
76200 319.719
76300 290.021
76400 303.231
76500 286.641
76600 337.669
76700 304.453
76800 344.158
76900 311.27
77000 350.017
77100 316.799
77200 277.233
77300 269.651
77400 295.47
77500 282.94
77600 304.373
77700 327.69
77800 348.525
77900 367.814
78000 302.947
78100 303.216
78200 325.951
78300 315.897
78400 273.886
78500 320.389
78600 291.953
78700 299.702
78800 288.167
78900 374.193
79000 351.419
79100 318.399
79200 373.848
79300 323.502
79400 325.603
79500 312.309
79600 307.461
79700 288.201
79800 296.203
79900 291.862
80000 298.182
80100 340.512
80200 326.291
80300 355.411
80400 373.964
80500 331.816
80600 329.975
80700 288.583
80800 307.501
80900 324.279
81000 288.598
81100 262.664
81200 362.806
81300 324.768
81400 290.566
81500 372.253
81600 362.165
81700 300.026
81800 363.396
81900 305.786
82000 277.904
82100 295.925
82200 300.01
82300 296.739
82400 296.674
82500 353.192
82600 320.167
82700 316.745
82800 340.007
82900 350.126
83000 323.066
83100 361.094
83200 315.795
83300 309.498
83400 335.155
83500 285.565
83600 289.651
83700 292.462
83800 301.177
83900 295.9
84000 303.366
84100 357.595
84200 379.985
84300 343.658
84400 285.508
84500 382.774
84600 257.513
84700 323.776
84800 288.176
84900 301.112
85000 344.657
85100 286.145
85200 297.997
85300 265.625
85400 304.432
85500 260.146
85600 304.419
85700 374.173
85800 317.028
85900 364.128
86000 305.613
86100 322.102
86200 241.412
86300 306.432
86400 284.624
86500 257.61
86600 282.667
86700 323.7
86800 274.603
86900 291.887
87000 296.119
87100 344.636
87200 326.107
87300 321.621
87400 334.041
87500 305.987
87600 270.737
87700 283.903
87800 270.095
87900 309.73
88000 269.974
88100 323.573
88200 316.032
88300 272.406
88400 319.303
88500 333.023
88600 289.968
88700 367.666
88800 254.679
88900 326.716
89000 269.149
89100 279.849
89200 246.283
89300 299.389
89400 238.043
89500 290.805
89600 314.555
89700 311.192
89800 313.507
89900 304.265
90000 329.205
90100 349.543
90200 282.091
90300 325.027
90400 267.752
90500 307.482
90600 216.907
90700 351.887
90800 244.522
90900 341.012
91000 340.172
91100 343.269
91200 314.459
91300 290.167
91400 326.235
91500 326.646
91600 287.031
91700 288.806
91800 289.757
91900 271.041
92000 249.295
92100 349.003
92200 277.038
92300 384.594
92400 304.782
92500 373.025
92600 290.206
92700 288.517
92800 290.503
92900 303.676
93000 295.167
93100 320.367
93200 334.221
93300 340.818
93400 361.387
93500 334.065
93600 330.452
93700 330.039
93800 320.27
93900 362.971
94000 302.7
94100 302.656
94200 291.653
94300 281.434
94400 277.383
94500 306.423
94600 313.389
94700 345.216
94800 350.251
94900 316.957
95000 315.753
95100 302.968
95200 297.407
95300 298.478
95400 314.965
95500 287.137
95600 291.652
95700 254.676
95800 279.766
95900 268.055
96000 267.265
96100 305.438
96200 314.26
96300 302.661
96400 338.906
96500 336.621
96600 275.008
96700 317.213
96800 309.518
96900 288.64
97000 316.891
97100 272.945
97200 290.924
97300 285.59
97400 287.274
97500 340.347
97600 313.119
97700 343.776
97800 354.683
97900 305.987
98000 316.881
98100 318.339
98200 291.943
98300 325.784
98400 308.323
98500 278.188
98600 340.306
98700 280.833
98800 340.882
98900 269.505
99000 343.336
99100 315.494
99200 313.944
99300 373.764
99400 351.644
99500 313.987
99600 297.926
99700 330.114
99800 263.374
99900 295.02
100000 291.437
100100 318.668
100200 335.762
100300 246.635
100400 384.873
100500 378.804
100600 341.613
100700 360.522
100800 359.297
100900 319.257
101000 344.002
101100 340.953
101200 323.138
101300 265.469
101400 313.749
101500 324.549
101600 256.13
101700 311.767
101800 323.734
101900 328.638
102000 357.393
102100 353.85
102200 298.086
102300 339.485
102400 301.133
102500 333.531
102600 319.931
102700 271.595
102800 347.481
102900 284.027
103000 284.458
103100 271.521
103200 305.553
103300 271.601
103400 331.57
103500 287.879
103600 373.081
103700 303.81
103800 331.716
103900 323.229
104000 310.54
104100 288.821
104200 275.57
104300 285.114
104400 276.108
104500 333.8
104600 275.327
104700 309.962
104800 307.931
104900 301.236
105000 327.518
105100 301.138
105200 343.042
105300 327.434
105400 254.719
105500 321.835
105600 284.552
105700 266.592
105800 249.525
105900 259.377
106000 264.002
106100 297.376
106200 319.205
106300 326.502
106400 343.175
106500 323.162
106600 347.946
106700 280.608
106800 307.4
106900 284.725
107000 269.046
107100 311.147
107200 306.737
107300 305.549
107400 355.426
107500 354.577
107600 283.23
107700 325.258
107800 311.026
107900 308.617
108000 281.526
108100 295.514
108200 265.112
108300 266.976
108400 309.393
108500 281.843
108600 296.669
108700 338.358
108800 327.074
108900 323.452
109000 315.534
109100 345.424
109200 269.684
109300 336.264
109400 278.036
109500 252.972
109600 313.945
109700 281.113
109800 291.81
109900 315.147
110000 330.715
110100 297.529
110200 325.288
110300 287.67
110400 303.557
110500 298.187
110600 318.83
110700 327.12
110800 317.309
110900 366.055
111000 322.738
111100 314.985
111200 304.197
111300 272.426
111400 295.508
111500 311.489
111600 285.496
111700 331.295
111800 358.229
111900 297.533
112000 341.085
112100 299.148
112200 314.899
112300 284.092
112400 293.198
112500 256.359
112600 329.199
112700 267.958
112800 305.955
112900 326.713
113000 345.433
113100 316.696
113200 284.169
113300 334.17
113400 348.803
113500 269.79
113600 300.242
113700 307.662
113800 282.577
113900 243.631
