# Time-averaged data for fix myat4
# TimeStep c_Twater
134300 365.687
134400 330.066
134500 343.239
134600 337.151
134700 332.406
134800 346.011
134900 346.128
135000 322.315
135100 273.063
135200 275.898
135300 296.03
135400 302.88
135500 342.18
135600 367.03
135700 353.205
135800 329.249
135900 315
136000 302.201
136100 316.312
136200 298.181
136300 330.799
136400 360.522
136500 357.901
136600 326.575
136700 339.66
136800 341.013
136900 333.693
137000 329.707
137100 297.124
137200 316.549
137300 308.158
137400 312.979
137500 344.086
137600 355.874
137700 314.158
137800 336.037
137900 348.472
138000 336.472
138100 347.239
138200 336.969
138300 350.413
138400 311.801
138500 325.517
138600 338.741
138700 295.246
138800 312.383
138900 358.043
139000 331.726
139100 311.423
139200 332.617
139300 327.864
139400 338.231
139500 343.193
139600 327.205
139700 331.731
139800 336.741
139900 365.518
140000 302.879
140100 342.982
140200 346.544
140300 350.228
140400 313.243
140500 313.51
140600 311.271
140700 313.329
140800 327.867
140900 317.465
141000 330.175
141100 327.208
141200 363.827
141300 333.972
141400 328.059
141500 351.596
141600 344.207
141700 331.661
141800 285.26
141900 293.299
142000 304.491
142100 323.821
142200 302.743
142300 329.767
142400 312.584
142500 335.396
142600 386.173
142700 365.068
142800 393.099
142900 350.405
143000 308.582
143100 279.709
143200 306.602
143300 312.182
143400 319.402
143500 318.619
143600 354.877
143700 361.417
143800 319.771
143900 322.005
144000 309.475
144100 291.842
144200 318.801
144300 314.965
144400 320.752
144500 313.939
144600 317.508
144700 342.693
144800 304.215
144900 336.452
145000 298.249
145100 322.453
145200 359.772
145300 376.178
145400 371.847
145500 383.191
145600 386.907
145700 335.823
145800 319.095
145900 341.806
146000 317.224
146100 347.135
146200 364.626
146300 343.914
146400 307.072
146500 311.32
146600 284.916
146700 292.587
146800 320.014
146900 328.193
147000 339.189
147100 343.863
147200 350.041
147300 337.971
147400 335.857
147500 342.125
147600 339.519
147700 300.837
147800 271.72
147900 311.077
148000 372.336
148100 364.241
148200 346.588
148300 369.722
148400 378.096
148500 323.201
148600 324.391
148700 315.965
148800 309.753
148900 327.89
149000 349.127
149100 315.29
149200 308.249
149300 312.227
149400 291.106
149500 276.853
149600 298.261
149700 314.2
149800 329.215
149900 335.405
150000 351.544
150100 341.3
150200 333.139
150300 341.107
150400 305.142
150500 315.481
150600 322.805
150700 343.95
150800 343.687
150900 325.289
151000 356.726
