#step pe ke etotal temp press vol
94000 -1811.0493207513450216 9.2300776373893445026 -1801.8192431139557357 291.45709433529214039 3674.2628705587449076 2683.2073089264999908
95000 -1811.6599174846141977 8.5373686467774305697 -1803.1225488378368027 269.5835026326782895 3398.5127605057728033 2683.2073089264999908
96000 -1811.4057464449160761 8.2972678354784026311 -1803.108478609437725 262.00186707575852552 3302.9346374601504976 2683.2073089264999908
97000 -1811.4350786004170004 9.1693512719217924456 -1802.2657273284951316 289.53954491436206808 3650.0892244999540708 2683.2073089264999908
98000 -1811.041479344876052 9.0219862571284199504 -1802.0194930877476054 284.88621688119701503 3591.4269007854400115 2683.2073089264999908
99000 -1812.1555656081445704 8.2501007855572261462 -1803.9054648225874189 260.51247859405100371 3284.1586155188892917 2683.2073089264999908
100000 -1812.0777106504842777 8.8469147548584707863 -1803.2307958956257607 279.35800429652516641 3521.7353179240253667 2683.2073089264999908
101000 -1811.8524174750043585 8.4623327964403483037 -1803.3900846785641079 267.21410426254607273 3368.6428666992978833 2683.2073089264999908
102000 -1811.2697556107336823 9.2439649473007108327 -1802.025790663432872 291.89561231465393121 3679.7910610229919257 2683.2073089264999908
103000 -1812.2255967962539671 8.3809363828501393101 -1803.8446604134037443 264.64385912200509665 3336.2409918721928079 2683.2073089264999908
104000 -1811.3959657761797644 9.3839059673092428682 -1802.0120598088706174 296.31451372289171786 3735.4980782427192025 2683.2073089264999908
105000 -1811.0737313517838629 9.7479793866212531839 -1801.3257519651626808 307.81081798880103406 3880.4265933959072754 2683.2073089264999908
106000 -1810.7148345251730461 9.0340633893848725222 -1801.6807711357880635 285.26757509005000202 3596.2345048355900872 2683.2073089264999908
107000 -1810.9033356503978212 9.2843049535443551434 -1801.6190306968535424 293.16942402752766839 3695.8494077630798529 2683.2073089264999908
108000 -1811.5698265217502012 9.2896711346693212619 -1802.2801553870808675 293.338871308450166 3697.9855501487395486 2683.2073089264999908
109000 -1811.5928229573578392 9.1588791600695653727 -1802.4339437972882934 289.20886824923405811 3645.920538897667484 2683.2073089264999908
110000 -1812.0796024125156691 9.0266776272172464246 -1803.0529247852985009 285.03435573205587161 3593.2944177887211481 2683.2073089264999908
111000 -1810.7595133745944622 7.9146196969876836391 -1802.8448936776067058 249.91903105003061114 3150.6119915433246206 2683.2073089264999908
112000 -1811.0216134916927331 8.6079952855927572841 -1802.4136182060999545 271.81367184039964968 3426.6274575718443884 2683.2073089264999908
113000 -1811.7898805582740351 8.5095685842225563533 -1803.2803119740515285 268.70566327174361732 3387.4462514624674441 2683.2073089264999908
114000 -1809.756949578905278 9.1668158134535406845 -1800.5901337654518102 289.45948303547049818 3649.0799219484774767 2683.2073089264999908
115000 -1810.6814467649892322 9.0931665975735587182 -1801.5882801674156326 287.13387026126162027 3619.7620126107053693 2683.2073089264999908
116000 -1811.2628724767473614 8.9035859161134922601 -1802.3592865606337909 281.14750300291603935 3544.2946886911022375 2683.2073089264999908
117000 -1810.1265818555602891 8.8341212900972418964 -1801.2924605654629886 278.95402653899424195 3516.6425598341506884 2683.2073089264999908
118000 -1810.9721012122504362 9.7769970496590588027 -1801.1951041625914058 308.72710537940105269 3891.9777987138668323 2683.2073089264999908
119000 -1811.7906443831147953 9.0113715934862970158 -1802.7792727896285214 284.5510388746819217 3587.2014688837916765 2683.2073089264999908
120000 -1811.1828690296388231 9.9523957696969596043 -1801.2304732599418458 314.2656504816972074 3961.7996387781581689 2683.2073089264999908
121000 -1811.2986760308372141 8.6630372026653663653 -1802.63563882817175 273.55172409162253189 3448.5382670113044696 2683.2073089264999908
122000 -1810.8510657851809356 8.4663665794750038174 -1802.3846992057058287 267.34147856302837454 3370.2486147562894985 2683.2073089264999908
123000 -1810.3663031342648537 9.2668256043070762473 -1801.0994775299577668 292.61748063769829287 3688.8913163550610079 2683.2073089264999908
124000 -1812.1419347636879138 8.7222090229149706886 -1803.4197257407729467 275.42018581794854981 3472.0930875304516121 2683.2073089264999908
125000 -1811.9053338211322171 9.1810582603813877256 -1802.7242755607508116 289.90921513533925236 3654.7494835695965776 2683.2073089264999908
126000 -1812.7851363601789672 8.8201919332344598246 -1803.9649444269446121 278.51418084790924468 3511.0976315310167593 2683.2073089264999908
127000 -1812.0064755185358081 8.6352545359511232448 -1803.3712209825846458 272.67443403713610905 3437.4786828167207204 2683.2073089264999908
128000 -1811.092793529892333 9.5384497917505637332 -1801.5543437381418244 301.19452619826574846 3797.0181063862196424 2683.2073089264999908
129000 -1810.972093912573655 9.3698917220272459616 -1801.6022021905464499 295.87198752000830382 3729.9193579847269575 2683.2073089264999908
130000 -1812.3240195838391173 9.0423478104523535848 -1803.2816717733867335 285.5291712962180668 3599.5323254962763713 2683.2073089264999908
131000 -1811.4978532532206827 8.2432996587335924943 -1803.2545535944871062 260.29772019871609245 3281.451257168531356 2683.2073089264999908
132000 -1811.325555945727956 8.5736081499632597058 -1802.7519477957646359 270.72783323461283089 3412.9387996177097193 2683.2073089264999908
133000 -1812.0838758547363341 8.6095811660093843898 -1803.4742946887270136 271.86374900294924828 3427.2587568697344977 2683.2073089264999908
134000 -1811.8278200295185343 8.5999100699736672482 -1803.2279099595448315 271.55836592164240528 3423.4089356138770199 2683.2073089264999908
135000 -1812.4436193745646051 8.9623796231465124862 -1803.4812397514181157 283.00402509192105072 3567.6989918032300011 2683.2073089264999908
136000 -1811.7538237261092036 9.232995061439309481 -1802.520828664669807 291.5492174971930126 3675.4242240473699894 2683.2073089264999908
137000 -1810.7804308983713781 9.3606555569096592251 -1801.4197753414616727 295.58033820201472963 3726.2426718406768487 2683.2073089264999908
138000 -1811.1841280747039491 9.1337902499414145296 -1802.0503378247624369 288.41663863500320986 3635.9332717729321303 2683.2073089264999908
139000 -1811.7605219228619262 8.4258544991596302509 -1803.3346674237022853 266.0622332870876221 3354.1217696354101463 2683.2073089264999908
140000 -1809.4924655874083328 9.2265609771778809289 -1800.2659046102305638 291.34604916240584771 3672.8629761536308251 2683.2073089264999908
141000 -1810.9456579292900642 9.5007901642811631859 -1801.4448677650088939 300.00535249602967269 3782.0267513439421236 2683.2073089264999908
142000 -1811.330462641439226 10.29592305565882171 -1801.0345395857802941 325.11317187043954391 4098.5492525322724759 2683.2073089264999908
143000 -1811.8581082859514026 8.3799537852850836117 -1803.4781545006662782 264.61283175230539655 3335.849844376818055 2683.2073089264999908
144000 -1810.1771130712031663 8.7398891797044395702 -1801.437223891498661 275.97847008463526208 3479.1311153986089266 2683.2073089264999908
145000 -1811.0509020431045428 8.9124707264472533552 -1802.138431316657261 281.4280576315259168 3547.83150929042813 2683.2073089264999908
146000 -1811.1819745865971072 8.022972573131648133 -1803.1590020134653969 253.34047729181150999 3193.7445593693332739 2683.2073089264999908
