# Time-averaged data for fix myat3
# TimeStep c_Tsurface_sup
86300 363.503
86400 364.216
86500 337.192
86600 237.87
86700 224.4
86800 217.725
86900 251.544
87000 302.901
87100 270.689
87200 349.166
87300 333.018
87400 306.326
87500 346.042
87600 370.446
87700 349.038
87800 180.193
87900 322.056
88000 163.351
88100 333.604
88200 275.069
88300 257.353
88400 331.226
88500 329.272
88600 386.073
88700 284.04
88800 387.713
88900 299.141
89000 281.045
89100 340.068
89200 260.539
89300 403.285
89400 297.933
89500 495.269
89600 357.157
89700 410.392
89800 396.6
89900 379.846
90000 474.609
90100 384.687
90200 438.616
90300 259.068
90400 421.483
90500 319.229
90600 359.68
90700 365.926
90800 459.199
90900 279.128
91000 352.757
91100 414.945
91200 379.363
91300 346.924
91400 439.509
91500 377.297
91600 380.642
91700 296.954
91800 283.705
91900 235.879
92000 181.408
92100 207.741
92200 284.856
92300 240.908
92400 313.067
92500 321.981
92600 268.009
92700 308.64
92800 279.828
92900 351.932
93000 328.495
93100 389.175
93200 284.648
93300 390.192
93400 258.058
93500 265.986
93600 283.962
93700 279.94
93800 326.122
93900 333.728
94000 396.518
94100 400.586
94200 425.594
94300 389.359
94400 473.299
94500 305.813
94600 375.869
94700 206.205
94800 416.158
94900 197.321
95000 318.026
95100 288.908
95200 377.248
95300 315.454
95400 295.573
95500 333.314
95600 301.192
95700 365.662
95800 276.793
95900 369.787
96000 244.994
96100 274.766
96200 314.015
96300 292.851
96400 399.946
96500 237.836
96600 353.689
96700 401.153
96800 419.742
96900 293.97
97000 417.4
97100 245.187
97200 307.375
97300 255.065
97400 317.601
97500 210.542
97600 237.341
97700 356.818
97800 280.087
97900 296.289
98000 336.988
98100 339.613
98200 383.295
98300 340.255
98400 324.97
98500 358.954
98600 348.131
98700 300.615
98800 467.343
98900 315.252
99000 288.679
99100 332.62
99200 277.135
99300 378.822
99400 253.252
99500 361.391
99600 310.048
99700 323.479
99800 339.179
99900 333.481
100000 264.578
100100 347.101
100200 351.162
100300 369.725
100400 390.296
100500 384.158
100600 286.1
100700 342.534
100800 399.874
100900 374.335
101000 254.889
101100 274.471
101200 388.726
101300 194.841
101400 389.273
101500 344.398
101600 315.381
101700 303.181
101800 227.329
101900 357.45
102000 257.186
102100 400.475
102200 283.521
102300 355.756
102400 328.212
102500 382.474
102600 350.235
102700 348.761
102800 355.047
102900 223.458
103000 359.51
103100 248.472
103200 295.189
103300 402.481
103400 497.498
103500 297.565
103600 515.862
103700 383.771
103800 279.055
103900 371.602
104000 345.531
104100 293.849
104200 329.705
104300 390.569
104400 452.178
104500 394.527
104600 587.495
104700 460.68
104800 420.236
104900 387.18
105000 410.173
105100 320.389
105200 546.671
105300 348.1
105400 379.947
105500 336.053
105600 360.781
105700 217.484
105800 352.098
105900 337.584
106000 387.084
106100 283.884
106200 482.802
106300 507.443
106400 289.234
106500 465.217
106600 367.344
106700 287.308
106800 332.837
106900 363.709
107000 362.697
107100 276.179
107200 464.854
107300 368.471
107400 466.328
107500 333.391
107600 427.224
107700 479.284
107800 339.556
107900 301.436
108000 327.785
108100 449.235
108200 274.841
108300 356.1
108400 328.311
108500 294.092
108600 375.175
108700 251.321
108800 396.864
108900 263.027
109000 350.802
109100 339.181
109200 315.2
109300 284.556
109400 231.678
109500 324.653
109600 229.694
109700 266.909
109800 291.886
109900 364.17
110000 366.702
110100 300.034
110200 469.274
110300 278.293
110400 372.206
110500 469.464
110600 231.1
110700 529.085
110800 281.826
110900 397.409
111000 412.237
111100 328.297
111200 401.224
111300 365.529
111400 370.988
111500 353.298
111600 275.889
111700 341.427
111800 430.774
111900 395.298
112000 375.462
112100 427.592
112200 292.737
112300 329.85
112400 260.835
112500 262.276
112600 316.503
112700 242.453
112800 312.328
112900 365.866
113000 262.222
113100 339.393
113200 321.22
113300 308.518
113400 423.295
113500 290.896
113600 486.213
113700 381.81
113800 429.469
113900 456.458
114000 439.37
114100 326.884
114200 477.074
