# Time-averaged data for fix myat5
# TimeStep c_Press[3]
49300 3984.25
49400 3754.55
49500 4166.84
49600 3095.42
49700 3687.88
49800 3459.07
49900 3661.27
50000 3356.68
50100 3759.05
50200 3146.73
50300 4131.82
50400 3446.95
50500 3498.58
50600 3581.83
50700 3738.89
50800 3507.53
50900 3670.58
51000 3054.92
51100 2863.44
51200 3038.69
51300 3047.71
51400 3211.41
51500 3581.68
51600 3492.68
51700 3517.81
51800 3088.6
51900 3742.3
52000 3520.5
52100 3416.09
52200 2937.22
52300 3751.45
52400 2968.69
52500 3410.21
52600 3168.19
52700 2844.47
52800 2948.8
52900 3992.31
53000 3101.03
53100 3076.73
53200 3222.68
53300 3440.47
53400 3217.64
53500 3164.23
53600 3840.93
53700 3436.82
53800 3173.33
53900 3001.89
54000 3269.36
54100 2639.5
54200 3332.46
54300 3668.47
54400 3120.51
54500 3169.8
54600 2632.11
54700 2862.22
54800 3157.31
54900 3266.08
55000 3792
55100 3454.01
55200 3967.11
55300 4229.26
55400 3204.21
55500 3608.29
55600 3343.1
55700 3622.02
55800 2921.96
55900 2815.44
56000 3318.59
56100 3034.15
56200 3174.48
56300 3645.12
56400 3280.67
56500 2851.66
56600 3415.8
56700 3628.14
56800 3201.9
56900 3075.52
57000 3347.9
57100 3244.39
57200 2871.82
57300 3105.07
57400 3476.52
57500 3119.44
57600 3939.26
57700 4038.94
57800 3693.65
57900 3534.57
58000 3021.17
58100 3233.89
58200 3649.39
58300 3512.38
58400 3508.49
58500 3547.25
58600 3147.35
58700 3391.78
58800 3584.32
58900 3994.87
59000 3663.1
59100 3770.31
59200 3332.15
59300 3491.88
59400 3571.41
59500 3060.71
59600 3434.03
59700 3049.3
59800 3696.79
59900 3774.53
60000 2697.97
60100 3374.91
60200 2925.23
60300 3590.77
60400 3459.94
60500 3607.52
60600 3035.34
60700 3549.52
60800 3242.68
60900 3277.2
61000 3245.37
61100 3210.81
61200 3346.22
61300 3405.6
61400 3465.22
61500 2735.78
61600 4051.83
61700 3815.96
61800 3293.72
61900 2481.25
62000 3458.6
62100 3384.73
62200 3429.71
62300 3769.65
62400 3320.9
62500 3938.35
62600 3520.63
62700 3211.82
62800 3666.41
62900 3979.28
63000 3220.76
63100 3687.16
63200 3216.35
63300 3670.33
63400 3350.97
63500 3588.53
63600 4408.08
63700 4056.37
63800 3759.54
63900 3244.68
64000 3325.77
64100 3528.44
64200 3390.12
64300 3277.7
64400 3401.15
64500 3413.49
64600 3632.12
64700 3451.66
64800 3543.02
64900 4084.41
65000 3551.1
65100 3216.27
65200 3385.75
65300 3700.11
65400 3429.57
65500 3104.93
65600 3578
65700 3540.67
65800 3496.21
65900 3510.3
66000 3346.35
66100 3281.3
66200 3408.56
66300 3478.43
66400 3565.79
66500 3509.28
66600 3602.55
66700 3101.18
66800 3540.89
66900 2820.93
67000 3407.81
67100 3762.84
67200 3548.44
67300 3915.72
67400 3558.26
67500 3052.2
67600 4034.64
67700 3823.17
67800 4016.36
67900 3367.52
68000 3796.35
68100 3481.24
68200 3285.82
68300 3931.26
68400 3987.88
68500 3894.81
